"time","blh_m"
2024-06-24 06:32:42.050512,201.63
2024-06-24 06:52:42.364672,151.63
2024-06-24 07:12:42.118192,NA
2024-06-24 07:32:42.246103,1751.63
2024-06-24 07:52:42.166098,1701.63
2024-06-24 08:12:42.162063,1551.63
2024-06-24 08:32:42.150898,1901.63
2024-06-24 08:52:42.065089,1401.63
2024-06-24 09:12:42.096078,NA
2024-06-24 09:32:42.319089,NA
2024-06-24 09:52:42.236177,851.63
2024-06-24 10:12:42.288318,851.63
2024-06-24 10:32:42.241043,951.63
2024-06-24 10:52:42.23209,2351.63
2024-06-24 11:12:42.12871,2651.63
2024-06-24 11:32:42.156349,NA
2024-06-24 11:52:42.133023,2951.63
2024-06-24 12:12:42.049055,NA
2024-06-24 12:32:42.225134,NA
2024-06-24 12:52:42.154755,NA
2024-06-24 13:12:42.127154,NA
2024-06-24 13:32:42.187402,1851.63
2024-06-24 13:52:42.201151,NA
2024-06-24 14:12:42.139543,NA
2024-06-24 14:32:42.147689,2701.63
2024-06-24 14:52:42.107837,2851.63
2024-06-24 15:12:42.059013,3001.63
2024-06-24 15:32:42.318264,3001.63
2024-06-24 15:52:42.09003,2801.63
2024-06-24 16:12:42.305105,3101.63
2024-06-24 16:32:42.229275,3101.63
2024-06-24 16:52:42.202096,NA
2024-06-24 17:12:42.080863,NA
2024-06-24 17:32:42.139139,3251.63
2024-06-24 17:52:42.135638,5001.63
2024-06-24 18:12:42.131372,3201.63
2024-06-24 18:32:42.19513,3051.63
2024-06-24 18:52:42.221804,2601.63
2024-06-24 19:12:42.186207,2851.63
2024-06-24 19:32:42.219146,5001.63
2024-06-24 19:52:42.205074,5001.63
2024-06-24 20:12:42.157104,5251.63
2024-06-24 20:32:42.224152,3301.63
2024-06-24 20:52:42.293151,5151.63
2024-06-24 21:12:42.24139,4801.63
2024-06-24 21:32:42.218908,4951.63
2024-06-24 21:52:42.147755,4801.63
2024-06-24 22:12:42.193157,4801.63
2024-06-24 22:32:42.111151,6001.63
2024-06-24 22:52:42.062216,NA
2024-06-24 23:12:42.373116,NA
2024-06-24 23:32:42.096221,NA
2024-06-24 23:52:42.05312,3351.63
2024-06-25 00:12:42.204717,3551.63
2024-06-25 00:32:42.151135,3201.63
2024-06-25 00:52:42.222055,4651.63
2024-06-25 01:12:42.361925,4701.63
2024-06-25 01:32:42.058063,4401.63
2024-06-25 01:52:42.2631,4401.63
2024-06-25 02:12:42.213149,2551.63
2024-06-25 02:32:42.212102,1151.63
2024-06-25 02:52:42.156137,601.63
2024-06-25 03:12:42.066416,1551.63
2024-06-25 03:32:29.661775,2751.63
2024-06-25 03:52:42.131008,2351.63
2024-06-25 04:12:42.038008,2001.63
2024-06-25 04:32:42.241999,1801.63
2024-06-25 04:52:42.199008,2301.63
2024-06-25 05:12:42.140307,1651.63
2024-06-25 05:32:42.097035,2101.63
2024-06-25 05:52:42.269996,NA
2024-06-25 06:12:42.190012,NA
2024-06-25 06:32:42.149023,2801.63
2024-06-25 06:52:42.118093,NA
2024-06-25 07:12:42.072216,NA
2024-06-25 07:32:42.349019,851.63
2024-06-25 07:52:42.028993,NA
2024-06-25 08:12:42.182039,NA
2024-06-25 08:32:42.130006,2501.63
2024-06-25 08:52:42.128436,2501.63
2024-06-25 09:12:42.068015,NA
2024-06-25 09:32:42.112009,NA
2024-06-25 09:52:42.095029,3601.63
2024-06-25 10:12:42.243166,3051.63
2024-06-25 10:32:42.240409,3101.63
2024-06-25 10:52:42.00602,2251.63
2024-06-25 11:12:42.184021,2601.63
2024-06-25 11:32:42.102044,2351.63
2024-06-25 11:52:42.026033,3451.63
2024-06-25 12:12:42.282448,3001.63
2024-06-25 12:32:42.227045,3151.63
2024-06-25 12:52:42.129046,2751.63
2024-06-25 13:12:42.08502,2851.63
2024-06-25 13:32:42.001032,NA
2024-06-25 13:52:42.20102,NA
2024-06-25 14:12:42.151019,NA
2024-06-25 14:32:42.215612,NA
2024-06-25 14:52:42.143041,NA
2024-06-25 15:12:42.079994,2951.63
2024-06-25 15:32:42.291026,351.63
2024-06-25 15:52:42.199032,451.63
2024-06-25 16:12:42.109029,2851.63
2024-06-25 16:32:42.090028,2851.63
2024-06-25 16:52:42.057126,2701.63
2024-06-25 17:12:42.306027,2601.63
2024-06-25 17:32:42.016016,2701.63
2024-06-25 17:52:42.176022,2751.63
2024-06-25 18:12:42.076041,2801.63
2024-06-25 18:32:42.002011,2801.63
2024-06-25 18:52:42.177024,2951.63
2024-06-25 19:12:42.210618,3001.63
2024-06-25 19:32:42.193035,3601.63
2024-06-25 19:52:42.139021,3801.63
2024-06-25 20:12:42.056029,2951.63
2024-06-25 20:32:42.293041,3001.63
2024-06-25 20:52:42.222018,3151.63
2024-06-25 21:12:42.177027,3401.63
2024-06-25 21:32:42.162391,4701.63
2024-06-25 21:52:42.125063,2451.63
2024-06-25 22:12:42.084014,5451.63
2024-06-25 22:32:42.041054,5101.63
2024-06-25 22:52:42.204028,4801.63
2024-06-25 23:12:42.168028,4501.63
2024-06-25 23:32:42.14607,5601.63
2024-06-25 23:52:42.146058,5901.63
2024-06-26 00:12:42.076031,151.63
2024-06-26 00:32:42.25202,5451.63
2024-06-26 00:52:42.162017,NA
2024-06-26 01:12:42.079015,751.63
2024-06-26 01:32:42.245046,NA
2024-06-26 01:52:42.023079,NA
2024-06-26 02:12:42.193455,4801.63
2024-06-26 02:32:42.181052,4551.63
2024-06-26 02:52:42.150021,3301.63
2024-06-26 03:12:42.16905,3101.63
2024-06-26 03:32:42.143039,3301.63
2024-06-26 03:52:42.124621,5201.63
2024-06-26 04:12:42.077477,5001.63
2024-06-26 04:32:42.272023,NA
2024-06-26 04:52:42.041184,NA
2024-06-26 05:12:42.233024,1851.63
2024-06-26 05:32:42.149067,1651.63
2024-06-26 05:52:42.074051,1551.63
2024-06-26 06:12:42.264725,NA
2024-06-26 06:32:42.201095,NA
2024-06-26 06:52:42.150038,1251.63
2024-06-26 07:12:42.075032,NA
2024-06-26 07:32:42.002058,NA
2024-06-26 07:52:42.162095,NA
2024-06-26 08:12:42.117032,601.63
2024-06-26 08:32:42.075048,NA
2024-06-26 08:52:42.30003,801.63
2024-06-26 09:12:42.106176,551.63
2024-06-26 09:32:42.076061,701.63
2024-06-26 09:52:42.018184,NA
2024-06-26 10:12:42.209019,NA
2024-06-26 10:32:42.128028,NA
2024-06-26 10:52:42.118049,NA
2024-06-26 11:12:42.031024,1951.63
2024-06-26 11:32:42.141815,1651.63
2024-06-26 11:52:42.119132,351.63
2024-06-26 12:12:42.097033,NA
2024-06-26 12:32:42.127036,251.63
